Price Date,Odisha_Balasore,Odisha_Bargarh,Odisha_Dhenkanal,Odisha_Ganjam,Odisha_Kalahandi,Odisha_Nayagarh
31-12-2016 00:00,1502.173913,1079.712644,1843.010753,1917.391304,1573.106061,1277.5
31-01-2017 00:00,1090.47619,1057.741935,1264.516129,1763.333333,1691.22807,1427.5
28-02-2017 00:00,885,876.4880952,1029.487179,1753.472222,1814.285714,1423.214286
31-03-2017 00:00,1450.864198,1066.774194,1625,1494.230769,1443.75,1271.428571
30-04-2017 00:00,1728.666667,1357.5,1972.413793,1469.320988,1810.069444,1050.862069
31-05-2017 00:00,1770,1174.310345,2219.444444,2703.125,1805.681818,1471.428571
30-06-2017 00:00,1837.654321,1163.541667,2752.873563,2655.769231,2145.37037,1926.724138
31-07-2017 00:00,2634.027778,1664.83871,3840.555556,3446.83908,3206.140351,3609.52381
31-08-2017 00:00,3249.166667,2016.896552,3318.965517,3409.677419,4153.030303,3063.333333
30-09-2017 00:00,2040.086207,1535.944444,2193.82716,2371.428571,2826.515152,1548.666667
31-10-2017 00:00,2674.027778,1712.634409,3043.103448,3134.444444,3039.492754,2007.258065
30-11-2017 00:00,2552.716049,1964.655172,3505,2906.666667,3221.491228,2556.896552
31-12-2017 00:00,1955.277778,1570.277778,2809.615385,2362.903226,3042.424242,1782.258065
31-01-2018 00:00,1995.277778,1587.777778,3089.655172,2528.16092,2138.271605,2158.064516
28-02-2018 00:00,1771.604938,1363.580247,2126.54321,2141.975309,1907.692308,1685.714286
31-03-2018 00:00,1423.888889,1286.781609,1472.988506,1837.634409,1582.638889,1816.129032
30-04-2018 00:00,1831.547619,1373.333333,2746.91358,2045.977011,1749.122807,2021.428571
31-05-2018 00:00,1687.884615,1105.322581,2646.774194,2308.611111,2063.333333,2098.387097
30-06-2018 00:00,2057.051282,1369.761905,2969.753086,2397.02381,2110.526316,2401.666667
31-07-2018 00:00,2427.222222,1531.236559,3419.354839,2757.777778,2417.391304,2423.709677
31-08-2018 00:00,2239.444444,1824.892473,3458.888889,2918.888889,2961.363636,2724.193548
30-09-2018 00:00,2158.630952,1769.111111,3344.54023,2215,2115.625,2291.37931
31-10-2018 00:00,2228.304598,1748.870968,3243.27957,2740.123457,2294.444444,2345.16129
30-11-2018 00:00,2094.791667,1550.444444,3357.777778,2833.045977,2587.333333,2384.482759
31-12-2018 00:00,1949.666667,1297.166667,2680.376344,2740.229885,2676.190476,2122.580645
31-01-2019 00:00,1959.055556,1077.634409,2227.688172,2674.444444,2473.529412,2290.322581
28-02-2019 00:00,1999.074074,1074.642857,2042.261905,2230.128205,2014.705882,1717.857143
31-03-2019 00:00,1497.222222,1239.354839,1716.935484,1748.924731,1692.592593,1578.333333
30-04-2019 00:00,2007.5,1668,3100,3193.333333,3053.846154,2962.5
31-05-2019 00:00,2294.583333,1347.903226,2639.247312,2841.666667,3163.095238,2617.741935
30-06-2019 00:00,2490.833333,1279.666667,2899.722222,2606.111111,2507.142857,2364.285714
31-07-2019 00:00,2984.583333,1676.075269,3941.397849,3540,2772.5,3204.166667
31-08-2019 00:00,2445.026882,2150.537634,2768.548387,3438.095238,2266.666667,2493.548387
30-09-2019 00:00,2487.931034,1970.722222,3178.055556,3223.809524,2232.608696,2540
31-10-2019 00:00,2946.944444,1936.935484,3453.494624,3351.111111,3204.166667,2790
30-11-2019 00:00,3031.111111,2066.944444,3807.777778,3450,3744.444444,3540
31-12-2019 00:00,2265.456989,1600.16129,3069.892473,2963.333333,3275,2613.461538
31-01-2020 00:00,2387.797619,1350.5,3253.225806,2912.222222,2508.333333,2691.666667
29-02-2020 00:00,2607.407407,1620.574713,3480.747126,2750.694444,2573.684211,2625.925926
31-03-2020 00:00,1772.222222,1465.698925,2673.387097,2246.666667,2198.076923,2028.571429
30-04-2020 00:00,1846.264368,1446.666667,1778.735632,1265.789474,2323.214286,487.5
31-05-2020 00:00,2336.944444,1354.462366,1624.462366,1661.111111,1939.880952,1162.5
30-06-2020 00:00,2785.357143,1472,2543.611111,2656.140351,1390,1896.875
31-07-2020 00:00,3892.045455,2595.77957,3503.225806,3818.181818,2811.764706,1847.619048
31-08-2020 00:00,3276.153846,2004.032258,3534.444444,2536.111111,3622.222222,2919.565217
30-09-2020 00:00,3980.555556,2210,4228.571429,3379.885057,3948.076923,2624
31-10-2020 00:00,3729.783951,2832.016129,4776.88172,3657.738095,3930,4321.73913
30-11-2020 00:00,2748.363095,2624.777778,4357.222222,3495.061728,3795.652174,3039.583333
31-12-2020 00:00,1987.64881,1948.655914,3339.784946,2875.925926,3347.222222,2452.380952
31-01-2021 00:00,1984.027778,1780.806452,3163.709677,2767.241379,2358.333333,2459.375
28-02-2021 00:00,1666.987179,1425.119048,2450.892857,2726.785714,2163.636364,1677.777778
31-03-2021 00:00,1628.685897,1467.365591,1826.075269,1801.075269,2250,1164.285714
30-04-2021 00:00,2265.333333,1325.527778,2203.571429,1597.413793,2562.5,1225
31-05-2021 00:00,2739.236111,1024.444444,2558.333333,1918.82716,2352.173913,1517.647059
30-06-2021 00:00,3310.294118,925,3168.611111,2309.444444,3115,2565.625
31-07-2021 00:00,3908.333333,1036.206897,3636.290323,2975.862069,2772.5,2506.818182
31-08-2021 00:00,2858.333333,1281.25,2609.139785,2356.790123,3018.181818,1800
30-09-2021 00:00,2185.515873,1027.586207,2703.888889,2108.045977,2342.5,1384.210526
31-10-2021 00:00,3935.185185,1551.785714,3720.277778,4496.91358,2938.461538,2810.869565
30-11-2021 00:00,3528.125,2156.666667,4328.055556,4215.432099,3835.714286,3231.034483
31-12-2021 00:00,2621.354167,2024,4096.236559,4423.809524,3515.384615,3783.928571
31-01-2022 00:00,2080,1793.333333,3709.946237,3603.448276,3219.230769,2444.642857
28-02-2022 00:00,2169.230769,1296.296296,3116.071429,3246.296296,2671.052632,2539.130435
31-03-2022 00:00,1255.357143,1388.333333,2386.827957,2426.666667,1994.117647,2022.413793
30-04-2022 00:00,2237.5,1326.923077,3633.333333,2659.444444,1953.125,2888.888889
31-05-2022 00:00,2600,1874.712644,2776.111111,2268,3950,1446.153846
30-06-2022 00:00,2037.5,2066.111111,3085,2322.02381,3866.666667,2175
31-07-2022 00:00,2275,1569.354839,3682.5,3318.965517,3080,2996.153846
31-08-2022 00:00,2598.275862,1587.096774,4825,3371.83908,3586.363636,4400
30-09-2022 00:00,2402.173913,2016.833333,3961.666667,3706.111111,4023.333333,2785.185185
31-10-2022 00:00,2593.103448,2391.989247,3939.516129,3602.97619,3194.736842,3393.75
30-11-2022 00:00,1781.25,1983.777778,2821.944444,2737.037037,3058.823529,1998.148148
31-12-2022 00:00,1520,1488.172043,2156.451613,2009.677419,2040.909091,1727.586207
31-01-2023 00:00,1580.092593,1540.322581,2517.741935,2462.5,2105.263158,1830.357143
28-02-2023 00:00,1210,1948.214286,2364.285714,2273.076923,2042.307692,1214
31-03-2023 00:00,1796.296296,1848.387097,2295.16129,1901.954023,2761.111111,1453.448276
30-04-2023 00:00,2251.25,1628.944444,2651.666667,2133.908046,2215.625,1271.428571
31-05-2023 00:00,2240.909091,1604.623656,3059.677419,2475.595238,2214.285714,2255.747126
30-06-2023 00:00,2646.428571,1852.222222,3748.333333,2533.333333,3800,2525.925926
31-07-2023 00:00,3975,2869.569892,5898.387097,3820.591398,3716.666667,4518.518519
31-08-2023 00:00,3046.666667,3105.277778,4796.774194,3966.833333,3598,4337.931034
30-09-2023 00:00,2823.611111,2628.277778,3856.666667,3537.222222,2861.363636,3339.270833
31-10-2023 00:00,3801.666667,2534.777778,4132.258065,3934.444444,4271.929825,3426.447368
30-11-2023 00:00,2170.277778,2418.444444,3535,3345.977011,2669.270833,2965.5
31-12-2023 00:00,2634.005376,2860.388889,4737.096774,3942.528736,2755.797101,4558.586957
31-01-2024 00:00,2442.222222,2153.387097,3405.172414,3360,2398.333333,2445.578947
29-02-2024 00:00,1569.109195,1763.095238,2312.068966,2764.197531,1784.666667,1800.809524
31-03-2024 00:00,1813.306452,2028.277778,3129.569892,3133.333333,1701.388889,2973.233333
30-04-2024 00:00,2362.946429,2522.126437,2836.666667,2666.049383,2036.111111,1160.825
31-05-2024 00:00,2151.388889,2387.444444,2429.032258,2475.862069,2864.772727,1386.022727
30-06-2024 00:00,3442.307692,2358,4216.666667,2875.595238,2374.305556,3421.617647
31-07-2024 00:00,4147.826087,3139.301075,5493.548387,4065.555556,2701.333333,3703.809524
31-08-2024 00:00,4162.962963,5227.419355,5829.032258,5040.229885,3021.212121,5952.928571
30-09-2024 00:00,3491.37931,3450.388889,4108.333333,3780.45977,3395.634921,2899.235294
31-10-2024 00:00,4286.206897,4149.833333,5253.225806,4914.942529,4507.608696,4214.2
30-11-2024 00:00,3811.666667,3766.851852,4736.666667,4108.045977,3657.936508,4113.131579
31-12-2024 00:00,3126.724138,3420.632184,4283.870968,3447.222222,3282.142857,3021.157895
